"","cSObM2TOMPOOM080315.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"419610",4.67983592955543e-05,4.47253209546199e-05,5.61060998278045e-05,0.00016960053567338,5.82848757134907e-05,6.46975546570782e-05,3.57849183268881e-05,4.99522439323095e-05,4.71500352350939e-05,5.50729516748173e-05,6.7489384763394e-05,"v_210",66,2.58631837579206e-05,1222.86971264757
"33995",3.79757177890154e-05,3.90085506070369e-05,4.19655380825854e-05,1.76208348751564e-05,6.22769904883873e-05,4.71753002707862e-05,2.38566122179254e-05,3.05742182689136e-05,5.51145682139949e-05,3.41985264432333e-05,4.11685247056704e-05,"v_530",64,2.72457292319429e-05,2506.70221488031
"391595",4.33460213147347e-05,3.19466578247285e-05,4.88077453786592e-05,3.52416697503128e-05,4.87038002537388e-05,4.80738774188012e-05,4.21466815850015e-05,3.87560513267919e-05,4.39642220435335e-05,5.41846782607074e-05,4.42055470200231e-05,"v_663",64,2.69723533378287e-05,3689.53141025087
"1795043",4.94835110584139e-05,5.48137392150605e-05,4.37901266948718e-05,7.26859438600201e-05,4.23164166139042e-05,6.73932861011232e-05,2.78327142542463e-05,3.61723145716724e-05,4.74686165542499e-05,5.68494985030372e-05,6.07404462870546e-05,"v_925",86,2.66106069879454e-05,2410.28525778082
"1267562",2.30155865387972e-05,6.12030707800062e-05,2.85091970669738e-05,1.54182305157618e-05,0.000171660935320555,4.58274345487638e-05,2.30613918106612e-05,3.91866741193118e-05,3.34510385113842e-05,3.99723036349481e-05,8.16621555637068e-05,"v_956",77,2.63796560092856e-05,343.213141416744
"876364",2.22484003208373e-05,2.79112905205523e-05,3.05618592557959e-05,3.96468784691019e-05,3.27353411541523e-05,3.18994887545316e-05,1.59044081452836e-05,2.8421104306314e-05,2.64422494899513e-05,2.88688859585736e-05,4.15059716294873e-05,"v_957",79,2.78411938303914e-05,3496.54950582131
"2771360",1.72616899040979e-05,4.23713566938505e-05,2.80530499139022e-05,3.08364610315237e-05,0.000118965020291919,3.8638817364644e-05,2.30613918106612e-05,1.8947402870876e-05,2.48493428941711e-05,3.06454327867935e-05,4.75800162581928e-05,"v_958",63,2.69701709908841e-05,351.396484186775
"2049589",4.52639868596345e-05,2.55573262597828e-05,3.17022271384749e-05,4.62546915472855e-05,0.000133336633481547,5.21174745848686e-05,3.49896979196239e-05,4.22010336669512e-05,3.85483396178808e-05,5.24081314324874e-05,8.70613063447783e-05,"v_1322",78,2.63483782573183e-05,1911.46594836895
"2320270",3.52905660261557e-05,4.67430046067081e-05,4.01409494702991e-05,2.64312523127346e-05,0.00010619025301225,3.95373945126589e-05,2.86279346615105e-05,3.27273322315131e-05,3.44067824688523e-05,4.35253972913879e-05,6.88391724586619e-05,"v_1324",118,2.71532529597046e-05,3473.06318835669
"1758730",9.58982772449883e-06,1.17698213038474e-05,1.18598259798611e-05,1.10130217969727e-05,1.91621509195038e-05,9.88434862816473e-06,7.95220407264179e-06,7.75121026535838e-06,1.14689274896174e-05,1.37682379187043e-05,2.2946390819554e-05,"v_1360",51,2.83728188395517e-05,3055.26881675664
"658629",8.43904839755897e-06,6.38933156494571e-06,1.07194580971822e-05,6.60781307818364e-06,2.55495345593384e-05,9.88434862816473e-06,4.77132244358508e-06,7.32058747283847e-06,1.14689274896174e-05,1.24358277975394e-05,2.12591562004691e-05,"v_1365",67,2.87802912565475e-05,3897.12082434282
"47883",7.40334700331309e-05,5.38048973890165e-05,8.39310761651709e-05,7.92937569382037e-05,0.00015409563031101,7.99733661733328e-05,5.48702081012284e-05,7.27752519358648e-05,7.45480286825133e-05,8.2609427512226e-05,0.000135316216450605,"v_1430",92,2.52659238485055e-05,2389.30724770863
"46679",3.52905660261557e-05,2.95926935639591e-05,4.7895451072516e-05,3.74442741097073e-05,6.70675282182633e-05,5.07696088628461e-05,2.46518326251896e-05,3.40192006090729e-05,3.09023879581359e-05,3.99723036349481e-05,6.24276809061395e-05,"v_1434",127,2.74175417432073e-05,2995.64307797425
"384676",6.02241181098526e-05,5.85128259105554e-05,7.27554709149172e-05,9.03067787351765e-05,0.00017724989600541,7.23354604152055e-05,7.15698366537761e-05,5.12441123098693e-05,7.23179594484211e-05,8.2609427512226e-05,0.000129579618745717,"v_1476",53,2.50789988463661e-05,931.954267176552
"104087",7.01975389433314e-05,6.25481932147316e-05,0.000101264667981891,8.36989656569928e-05,0.000144514554851258,9.52491776895874e-05,4.13514611777373e-05,5.85646997827077e-05,6.81764022993925e-05,8.88273414109957e-05,0.000137678344917324,"v_1481",128,2.53543267158541e-05,3662.81252721218
"364197",6.06077112188326e-05,4.40527597372572e-05,6.50009693127003e-05,6.16729220630473e-05,0.000182838856690265,7.4581903285243e-05,4.93036652503791e-05,5.94259453677476e-05,6.08490319588036e-05,8.1277017391061e-05,0.000126205149507547,"v_1486",147,2.57406883060053e-05,3325.67380036619
"1853130",3.37561935902359e-05,3.90085506070369e-05,4.51585681540865e-05,5.72677133442582e-05,7.50517577680565e-05,4.71753002707862e-05,2.78327142542463e-05,2.8851727098834e-05,3.53625264263204e-05,4.0416440342003e-05,7.35634293920995e-05,"v_1503",102,2.71864720115271e-05,2579.47080949376
"191390",4.21952419877948e-05,3.69908669549488e-05,4.33339795418002e-05,5.94703177036528e-05,0.000102198138237354,4.58274345487638e-05,3.18088162905672e-05,3.3588577816553e-05,3.56811077454765e-05,5.86260453312571e-05,6.64770439919431e-05,"v_1504",104,2.68118079202081e-05,3646.54830921696
"158627",3.14546349363562e-05,1.78228722601117e-05,2.3947725536258e-05,4.4052087187891e-05,5.58896068485527e-05,2.47108715704118e-05,1.90852897743403e-05,2.4114876381115e-05,2.89909000431996e-05,3.64192099785082e-05,5.77034239727019e-05,"v_1517",51,2.72131058317686e-05,1806.25601131736
"471",3.83593108979953e-06,1.34512243472541e-06,5.24569226032318e-06,1.98234392345509e-05,2.39526886493797e-06,9.88434862816473e-06,1.59044081452836e-06,3.44498234015928e-06,5.41588242565268e-06,8.43859743404459e-06,4.72425693343758e-06,"v_1563",58,2.72264423207819e-05,1810.24504974417
"1134687",4.25788350967748e-05,4.33801985198945e-05,3.71759929753338e-05,2.64312523127346e-05,5.10990691186768e-05,5.88568031949809e-05,2.78327142542463e-05,3.18660866464733e-05,0,4.61902175337177e-05,5.7028530125068e-05,"v_1789",128,2.70599377621431e-05,1252.9448483388
"1646377",2.53171451926769e-05,3.53094639115421e-05,2.8281123490438e-05,4.4052087187891e-05,3.75258788840283e-05,3.81895287906365e-05,1.3518746923491e-05,2.4114876381115e-05,2.58050868516392e-05,4.44136707054978e-05,3.67817146960497e-05,"v_2003",88,2.77246388865785e-05,3194.28681466404
"92644",2.72351107375767e-05,4.67430046067081e-05,4.56147153071581e-05,4.84572959066801e-05,2.87432263792557e-05,4.89724545668162e-05,6.36176325811343e-06,3.22967094389932e-05,4.04598275328171e-05,3.24219796150134e-05,4.5555334715291e-05,"v_3127",53,2.69244231442341e-05,361.708406669038
"1935",2.30155865387972e-05,3.06015353900031e-05,3.51233307865117e-05,2.422864795334e-05,1.59684590995865e-05,2.65080258664418e-05,2.14709509961328e-05,1.80861572858362e-05,2.00706231068305e-05,2.70923391303537e-05,2.73332008291746e-05,"v_3132",51,2.78357689631176e-05,3634.97329905687
"145458",3.49069729171757e-05,3.09378159986845e-05,5.83868355931624e-05,4.62546915472855e-05,2.55495345593384e-05,3.63923744946065e-05,2.2266171403397e-05,3.70335601567122e-05,2.54865055324832e-05,3.81957568067281e-05,4.4880440867657e-05,"v_3180",55,2.70255661856116e-05,3332.12756463219
"1933880",5.44702214751533e-05,5.58225810411046e-05,8.02818989405982e-05,7.92937569382037e-05,4.79053772987595e-05,5.5262494602921e-05,5.32797672867e-05,5.59809630275883e-05,4.74686165542499e-05,6.75087794723567e-05,7.25510886206486e-05,"v_3255",52,2.54013411908149e-05,4097.4028755109
"29311",0.000108173256732347,7.39817339098977e-05,7.59485009864182e-05,6.38755264224419e-05,5.58896068485527e-05,8.62634062094377e-05,4.37371223995299e-05,6.02871909527874e-05,6.72206583419244e-05,6.79529161794117e-05,8.70613063447783e-05,"v_3412",79,2.56495754995255e-05,2377.19010998472
"1833",5.48538145841333e-05,3.4300622085498e-05,5.04042604144097e-05,3.96468784691019e-05,3.91227247939869e-05,4.94217431408237e-05,3.1013595883303e-05,3.3588577816553e-05,3.40882011496963e-05,3.99723036349481e-05,6.00655524394207e-05,"v_3449",77,2.74047684297068e-05,3862.88890118918
"89154",5.56210008020932e-05,6.42295962581384e-05,9.30540192266025e-05,8.59015700163874e-05,5.03006461636975e-05,8.26690976173778e-05,4.21466815850015e-05,6.63159100480661e-05,6.21233572354278e-05,8.08328806840061e-05,8.50366248018765e-05,"v_3483",116,2.54019864353392e-05,2255.33829830997
"169292",2.83858900645165e-05,3.56457445202234e-05,5.13165547205529e-05,5.50651089848637e-05,2.9541649334235e-05,5.34653403068911e-05,2.54470530324537e-05,3.66029373641923e-05,3.217671323476e-05,5.01874478972126e-05,4.92672508772776e-05,"v_3496",84,2.71039436237973e-05,3972.56592071714
"39791",4.02772764428951e-05,5.41411779976978e-05,5.72464677104834e-05,3.96468784691019e-05,5.74864527585114e-05,4.58274345487638e-05,2.62422734397179e-05,4.56460160071104e-05,3.66368517029446e-05,6.39556858159169e-05,5.73659770488849e-05,"v_3501",99,2.69461884616421e-05,1761.16651179731
"203263",2.57007383016569e-05,3.02652547813218e-05,3.99128758937633e-05,5.72677133442582e-05,1.99605738744831e-05,3.32473544765541e-05,1.43139673307552e-05,2.97129726838738e-05,2.58050868516392e-05,4.0416440342003e-05,3.91438431627685e-05,"v_3504",81,2.7526218723334e-05,3725.42153390776
"78258",1.80288761220578e-05,1.61414692167049e-05,4.42462738479433e-05,1.98234392345509e-05,2.79448034242764e-05,2.56094487184268e-05,1.11330857016985e-05,1.93780256633959e-05,1.91148791493624e-05,3.68633466855632e-05,3.07076700673443e-05,"v_3779",87,2.80386933968877e-05,1903.3410799811
"1584",2.07140278849175e-05,2.25308007816506e-05,2.87372706435096e-05,6.60781307818364e-06,2.55495345593384e-05,2.24644287003744e-05,2.14709509961328e-05,1.50717977381968e-05,1.91148791493624e-05,3.33102530291234e-05,3.10451169911613e-05,"v_4105",64,2.81991991427443e-05,1415.3687474715
"208479",1.49601312502182e-05,1.91679946948371e-05,2.23512105005075e-05,0,1.67668820545658e-05,1.57251000902621e-05,4.77132244358508e-06,1.16268153980376e-05,1.68848099152701e-05,2.26509720598039e-05,2.19340500481031e-05,"v_4439",58,2.80544255856361e-05,1099.19431043362
"1702221",1.53437243591981e-05,2.38759232163761e-05,1.9614327582078e-05,1.98234392345509e-05,1.67668820545658e-05,3.10009116065167e-05,8.74742447990597e-06,1.98086484559159e-05,1.5929065957802e-05,2.66482024232987e-05,2.15966031242861e-05,"v_4564",61,2.84042492756916e-05,3455.56261740455
"109266",3.45233798081958e-06,5.716770347583e-06,6.84220729607371e-06,4.4052087187891e-06,1.59684590995865e-06,2.65080258664418e-05,3.18088162905672e-06,5.59809630275883e-06,6.3716263831208e-06,8.43859743404459e-06,1.01234077145091e-05,"v_4641",93,2.87166527869512e-05,3759.0239488667
"289435",5.37030352571934e-06,9.75213765175924e-06,6.38606014300213e-06,6.60781307818364e-06,1.11779213697105e-05,2.78558915884642e-05,2.38566122179254e-06,9.47370143543802e-06,1.08317648513054e-05,2.88688859585736e-05,1.0798301562143e-05,"v_4644",64,2.86270468338486e-05,2374.97729006842
"2518495",2.76187038465566e-05,2.95926935639591e-05,2.75969027608306e-05,3.96468784691019e-05,3.1936918199173e-05,3.54937973465915e-05,1.74948489598119e-05,2.8421104306314e-05,4.0141246213661e-05,4.0860577049058e-05,3.98187370104025e-05,"v_5020",59,2.76502792678206e-05,2041.30293824606
