"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"419610",5.58463829595198e-05,0.00016960053567338,5.61060998278045e-05,6.92152697430148e-05,4.67983592955543e-05,4.99522439323095e-05,3.35260808871735e-05,3.57849183268881e-05,"v_210",196,2.78675732917178e-05,1978.68571668849
"32009",5.21797012500564e-05,5.72677133442582e-05,4.28778323887286e-05,4.91342964225105e-05,4.14280557698349e-05,4.47847704220706e-05,2.89715944270292e-05,3.26040366978314e-05,"v_944",172,2.91290416545296e-05,2898.65249603899
"640081",7.89746829730583e-05,4.4052087187891e-05,4.88077453786592e-05,7.60513457670163e-05,6.59780147445519e-05,0.000112392548847696,4.22555132691168e-05,3.26040366978314e-05,"v_1173",94,2.80890986208253e-05,3354.88439868811
"2706126",6.79746378446681e-05,5.50651089848637e-05,4.94919661082665e-05,6.70789959855144e-05,6.06077112188326e-05,6.11484365378272e-05,5.1617513214969e-05,4.13514611777373e-05,"v_1313",155,2.87869192239047e-05,4089.63372858872
"2726989",5.89489597906043e-05,3.96468784691019e-05,4.83515982255876e-05,6.75062507370144e-05,4.9099917949434e-05,5.12441123098693e-05,4.18759727307714e-05,4.4532342806794e-05,"v_1319",165,2.9086678301338e-05,4295.16832686408
"76760",5.55643305203303e-05,3.96468784691019e-05,4.17374645060496e-05,4.91342964225105e-05,3.60577522441156e-05,8.00958394087032e-05,3.31465403488281e-05,3.1013595883303e-05,"v_1436",102,2.90469689487902e-05,4168.07044518889
"553151",7.1359267114942e-05,4.4052087187891e-05,4.03690230468349e-05,6.92152697430148e-05,7.28826907061911e-05,6.2009682122867e-05,6.30037293653298e-05,3.18088162905672e-05,"v_1491",103,2.85861300097193e-05,3046.06548570963
"219572",5.95130646689833e-05,3.52416697503128e-05,4.17374645060496e-05,5.21250796830112e-05,3.14546349363562e-05,3.53110689866326e-05,3.15018646826649e-05,3.26040366978314e-05,"v_1499",218,2.93746144581852e-05,4468.81736828883
"163011",3.75129744122027e-05,3.96468784691019e-05,0.000153949664161659,3.67439086290079e-05,3.49069729171757e-05,2.45454991736349e-05,2.64413241713934e-05,2.2266171403397e-05,"v_1516",155,2.84131268646115e-05,177.748935336252
"64187",5.47181732027619e-05,4.84572959066801e-05,3.3754889327297e-05,3.97346918895085e-05,4.60311730775944e-05,3.70335601567122e-05,3.04897565804106e-05,3.33992571050955e-05,"v_1676",127,2.92740046838407e-05,2831.57460968595
"349967",7.05131097973735e-06,6.60781307818364e-06,7.0702808726095e-06,8.11784027850174e-06,6.13748974367925e-06,5.59809630275883e-06,1.02475945353247e-05,3.9761020363209e-06,"v_1988",94,3.09214594928881e-05,4995.6952600773
"213554",6.48720610135836e-06,0,1.14036788267895e-06,4.69980226650101e-06,3.45233798081958e-06,4.3062279251991e-07,2.78329728119931e-06,0,"v_2253",102,2.88791983134548e-05,4483.32625573633
"28084",6.48720610135836e-06,4.4052087187891e-06,4.7895451072516e-06,7.69058552700165e-06,6.5210828526592e-06,4.3062279251991e-06,2.08747296089948e-05,1.59044081452836e-06,"v_2677",95,3.08985292300087e-05,4595.05635143179
"92644",3.83591317297712e-05,4.84572959066801e-05,4.56147153071581e-05,4.35799846530093e-05,2.72351107375767e-05,3.22967094389932e-05,1.26513512781787e-05,6.36176325811343e-06,"v_3127",197,2.98623346373219e-05,3617.86251048781
"67260",2.42565097702965e-05,1.10130217969727e-05,3.69479193987981e-05,2.56352850900055e-05,2.83858900645165e-05,2.19617624185154e-05,1.79649188150137e-05,1.59044081452836e-05,"v_3134",96,3.05913304169598e-05,4893.17088716259
"556325",4.00514463649082e-05,5.50651089848637e-05,5.31411433328392e-05,4.48617489075096e-05,2.37827727567571e-05,3.10048410614335e-05,2.30254593262852e-05,1.90852897743403e-05,"v_3276",204,2.95115832964439e-05,5035.06678179917
"1520670",5.50002256419514e-05,8.36989656569928e-05,6.40886750065571e-05,5.5970372446512e-05,3.87429040069753e-05,3.10048410614335e-05,2.72004052480841e-05,3.1013595883303e-05,"v_3431",175,2.862458852154e-05,4355.49844776562
"33035",1.35385170810957e-05,1.32156261563673e-05,1.45967088982906e-05,1.11086235390024e-05,8.05545528857901e-06,1.07655698129977e-05,1.05006215608883e-05,1.03378652944343e-05,"v_4422",93,3.08442059159187e-05,4701.87592253935
"2214",9.30773049325331e-06,4.4052087187891e-06,9.12294306143162e-06,8.11784027850174e-06,2.68515176285967e-06,3.44498234015928e-06,2.90981079398109e-06,0,"v_5345",133,3.03287637995875e-05,4285.33550511766
"1903276",1.72051987905591e-05,1.32156261563673e-05,2.66846084546875e-05,1.02541140360022e-05,8.43904839755897e-06,6.02871909527874e-06,6.32567563908934e-07,0,"v_5464",115,2.99922020274729e-05,1332.61117558036
"1410606",1.12820975675798e-05,6.60781307818364e-06,1.48247824748264e-05,8.11784027850174e-06,1.91796554489977e-06,1.29186837755973e-06,1.01210810225429e-06,7.95220407264179e-07,"v_5465",100,2.98900047824008e-05,942.120192532493
"2271",5.64104878378988e-06,1.54182305157618e-05,6.38606014300213e-06,5.55431176950119e-06,5.37030352571934e-06,4.73685071771901e-06,1.77118917894501e-06,7.95220407264179e-07,"v_5474",107,3.00987238141103e-05,3867.68330875714
"162474",4.54104427095086e-05,5.72677133442582e-05,3.42110364803686e-05,3.80256728835081e-05,2.49335520836969e-05,3.61723145716724e-05,3.03632430676288e-05,1.59044081452836e-05,"v_5536",136,2.96912114014252e-05,2456.47875601273
"2315863",1.18462024459588e-05,8.81041743757819e-06,1.59651503575053e-05,1.62356805570035e-05,3.45233798081958e-06,1.03349470204778e-05,8.22337833081614e-06,3.18088162905672e-06,"v_5658",158,3.11303427450736e-05,4553.5993921522
