"","SRR11092499","SRR11092502","SRR11092506","SRR11092509","SRR11092512","t.0n7bM2TOMPOOA100365","t.1qGgM2TOMPOOM080340","t.9JUZM2TOMPOOB100355","t.a50wM2TOMPOOB051350","t.abKIM2TOMPOOA051320","t.aFJgM2TOMPOOM090325","t.AYtCM2TOMPOOA100360","t.cSObM2TOMPOOM080315","t.cuu6M2TOMPOOB051315","t.dSz8M2TOMPOOA051340","t.DYZgM2TOMPOOB100370","t.FvY2M2TOMPOOB051329","t.IGpcM2TOMPOOB051290","t.iYASM2TOMPOOA050195","t.nG3jM2TOMPOOA051345","t.Nm8MM2TOMPOOA051300","t.OeS0M2TOMPOOA051355","t.s9OmM2TOMPOOB051285","t.TECcM2TOMPOOA051310","t.vcXtM2TOMPOOB050180","t.wQqUM2TOMPOOA080335","t.XR8LM2TOMPOOB051125","nodos","degrees","closeness","betweenness"
"286727",0.000113670153032503,0.00012182857304592,0.000121284657330842,0.000120629976549172,0.000138061463648745,0.000173595540944941,0.000248266109673735,0.00013647374586314,0.00017663705713217,0.000146450512009887,0.000127433989193598,0.000146614662517017,0.000129550351857088,0.000153681344974014,0.000141401563929205,0.00018124684796524,0.00018677614853561,0.000155233062513122,0.000186019539333534,0.00015521589144644,0.000171686668874848,0.000168722414544294,0.000155458584748428,0.000158122089359405,0.000168998484646921,0.000138838287235227,0.000153346229532455,"v_679",119,1.58712524005269e-05,2012.08078624316
"265959",3.60857628674613e-05,4.15324680838365e-05,3.52013517319065e-05,3.87096193404061e-05,3.90808905037454e-05,5.81400742832226e-05,4.12399124097326e-05,3.41184364657849e-05,5.32115198847357e-05,6.33044148687898e-05,4.17549666719448e-05,4.67919135692609e-05,4.83728781612301e-05,6.2600474466479e-05,6.09329107721246e-05,6.42433176863095e-05,6.00888413519388e-05,5.69435476523413e-05,7.51360061009113e-05,6.26406990480277e-05,6.79524674131809e-05,5.37802696359937e-05,6.04274233075286e-05,6.88489930752407e-05,6.56494113436116e-05,3.92162815880823e-05,6.17561663681288e-05,"v_699",295,1.67450895025034e-05,3581.49168689059
"524",1.40734475183099e-05,1.44594518514097e-05,1.5680602135122e-05,1.5003728426514e-05,1.75316144315867e-05,3.3811958093789e-05,2.42479663166356e-05,2.11209368597716e-05,3.02266621830451e-05,4.25178905835155e-05,1.89795303054294e-05,3.34931591864183e-05,2.91905299248803e-05,3.72219037368253e-05,4.65136723451333e-05,4.59324203747527e-05,4.33140398078559e-05,4.13459672084391e-05,4.33604264282792e-05,4.82277948422868e-05,4.1034098679457e-05,3.62050181209631e-05,3.279608017118e-05,3.49186280668685e-05,4.22496211617302e-05,2.53008268310208e-05,3.66956930593229e-05,"v_708",181,1.70378068934967e-05,3582.24929549215
"2560053",0.000141456190440448,0.000151362772572204,0.000114564399272932,0.000167141534671366,0.00013221759217155,0.000204521112372187,0.000155591117198412,0.000193337806639448,0.000180100528840644,0.000171331351684685,0.000138279435082415,0.000179122728786188,0.000160686917110293,0.000164396741504312,0.000218149123298675,0.000191488536292043,0.000210561314904086,0.000162165320488189,0.000190653478035793,0.000160759316140956,0.000201887765502929,0.00017241321736245,0.000204781823431069,0.000179205034607325,0.000169431814094734,0.000153070002327676,0.000173334940385907,"v_784",139,1.58418351181801e-05,2282.06491743743
"34004",0.000127021885293464,0.000112599135693957,9.95238217147538e-05,0.000140134823503641,0.000106285412491494,0.000195449611420195,0.000177359177869028,0.000142972495666146,0.000154596782623699,0.000136372197204905,0.000137737162787974,0.000174525628505699,0.000158462876735064,0.000154809281450887,0.000177449659996684,0.000162935950653684,0.000188528739741708,0.000153252417377388,0.00016218785457906,0.000155770233915892,0.000199261583187443,0.000145698835059604,0.000190320559733541,0.00016998124606136,0.000160331895690669,0.000126187873819716,0.000160208025795581,"v_787",132,1.58990094917087e-05,3279.96754627528
"2259340",0.000108979003859733,0.000108907360753171,0.000101763907734057,0.000115528708884158,0.000121260333151808,0.000168028938088037,0.000138599171105315,0.000103979996848106,0.000115239149572859,0.000121254724997433,0.000117673087893663,0.000135778640427294,0.00015429280103151,0.000148041662589646,0.000170705177506639,0.000150832137176553,0.000151974694585945,0.000133693546662019,0.000152919977174542,0.000134705220076732,0.000155273029403065,0.000123905523180966,0.000151585031972305,0.000128803618624015,0.000139315417471757,0.000121127708453512,0.000120230604088676,"v_789",140,1.59522708057492e-05,2845.08067715452
"1549850",7.79452477937165e-05,8.36802319911373e-05,7.00826911753411e-05,9.06225196961445e-05,7.81617810074907e-05,0.000121846751423349,0.000106360397707061,9.42318721435964e-05,9.4458319322016e-05,0.000102672832075749,6.8326309099546e-05,0.000100151113253506,0.000106475932964087,9.67205528919022e-05,0.000116051612501108,0.000111727509019669,0.00010841028460579,0.000107449998613548,0.000102608642692874,0.000107542439073605,0.000109314838882074,8.8403515120604e-05,0.000103811214400113,0.000100143989927623,0.000110499009192218,9.51943609517159e-05,8.74133176128586e-05,"v_818",136,1.61739017920683e-05,2918.73921239389
"1591409",4.04160544115567e-05,3.53795098491941e-05,3.74414377512096e-05,3.90096939089364e-05,3.36022609938745e-05,5.79339038070409e-05,4.96899612776511e-05,4.06171862687915e-05,4.78588817898214e-05,4.03132592199258e-05,3.0909520783128e-05,4.59710028048879e-05,5.64350245214352e-05,5.04751573400889e-05,4.86067876006643e-05,4.77945455250805e-05,5.55821782505434e-05,4.28314510602393e-05,5.42832819407465e-05,5.15538496589962e-05,6.43414667293887e-05,3.6732275666414e-05,5.93944759005623e-05,5.27073631198015e-05,4.54995920203249e-05,4.11138436004089e-05,4.44525062263343e-05,"v_836",127,1.65253747128716e-05,2684.31809718947
"2009329",0.000153725349815385,0.000159053970365507,0.000132165075138885,0.000191747649290849,0.000150479690537786,0.000252971174274873,0.000189666857741866,0.000193337806639448,0.000200566498027081,0.000175740614411864,0.000140990796554619,0.000215406984571475,0.000221570022382186,0.000210642137056125,0.000232335793363941,0.000232765643790976,0.000231592409377264,0.000182219352487492,0.000246922733706079,0.000182933014919019,0.000218629677764147,0.000189812716362331,0.000216918955462923,0.000222029767142164,0.000202364852128493,0.000210945643703636,0.000200782125438409,"v_904",149,1.50756799131641e-05,2288.05659881242
"299262",6.67586613048035e-05,5.44536803765857e-05,5.82422365018817e-05,6.66165542137221e-05,5.29600852620849e-05,8.51484066630174e-05,6.70493007997879e-05,7.31109352838248e-05,8.02895714237136e-05,6.23595728558228e-05,5.802313550517e-05,7.81507047683094e-05,8.2289493883472e-05,6.42923791817892e-05,7.55847175608416e-05,7.9140318888932e-05,8.96325216833088e-05,7.60072570837773e-05,9.2347778423587e-05,7.04014936203497e-05,9.22446538314194e-05,6.57314406662145e-05,8.54763979264614e-05,8.26846758941887e-05,7.23660177847072e-05,6.32520670775521e-05,6.56345729516345e-05,"v_925",120,1.64425005754875e-05,1386.63442353951
"2582913",2.38166034925245e-05,2.12277059095164e-05,3.45613271549628e-05,2.61064874621343e-05,2.3740727876107e-05,4.78315504741406e-05,3.97703386935728e-05,4.06171862687915e-05,5.41561030779558e-05,5.19663107131856e-05,3.25363376664505e-05,3.84186237726563e-05,4.89288882550374e-05,4.93472208632154e-05,5.9304932240045e-05,4.99670248671296e-05,5.50814379059439e-05,5.29822573808741e-05,6.35511593452642e-05,5.48799044757057e-05,5.12105551519624e-05,5.06167243632882e-05,4.72573438687083e-05,5.30367841393003e-05,6.06661226937665e-05,3.7002459240368e-05,4.92259297137259e-05,"v_1047",152,1.66353367823932e-05,2793.32843533496
"2008794",0.000101040136028892,9.10637818727082e-05,8.06430966949131e-05,7.71191641122819e-05,0.000103728718720221,0.000313379123796093,0.000140160593178735,0.000177090932131931,0.000189546360772845,0.000145820617334575,0.000108996731182609,0.000164510517180349,0.000233524239399042,0.000159321027358381,0.000216521144766596,0.000264732125538271,0.000244611658336851,0.000217870964930697,0.000276381344027581,0.000205106713697082,0.000222240678447939,0.000220745159028785,0.000205040060282811,0.000192052454367777,0.000257831021448508,0.000259965995688739,0.000171843245546098,"v_1526",145,1.51439431799252e-05,2610.62987180091
"551759",0.000105370427572987,8.7987302755387e-05,7.42428509254755e-05,8.16202826402361e-05,0.000111764042001365,0.000183904064754023,7.33868374507268e-05,0.000100730621946603,0.000102644706996591,0.000121569672335089,4.7719961910794e-05,9.8016745266136e-05,0.000130106361950895,0.000126046901290613,0.000116749317586285,0.000166349846762618,0.000152225064758245,0.000125770966119084,0.000166490797659729,0.000112531521298669,0.000148707573614352,0.000124257028211266,0.000146678531789215,0.000132756670858,0.000151881971458323,0.000211578164374412,0.000110087079177969,"v_1543",184,1.61227911776087e-05,3573.09237477178
"76115",0.000185841678767426,0.000163668689041489,0.000157766058216636,0.000146436389442777,0.00021731897055821,0.000293586758082656,0.000136302962173815,0.000194962494090199,0.000190805805030472,0.000215109031618823,0.000103574008238201,0.000191600572404658,0.000221292017335283,0.000241942374289365,0.000211172072446905,0.000276835939015401,0.000280414592975715,0.000241638706559501,0.000271085414082143,0.000196237234185857,0.000273122960810466,0.000213890810937923,0.000235770245640058,0.000238500818117102,0.000259781003963664,0.000314679033710822,0.000222560870099633,"v_1546",136,1.50668213526992e-05,2521.0315806233
"146937",0.000117639586947924,9.38326130782973e-05,9.50436496761476e-05,8.52211774625995e-05,0.000113225009870664,0.000202871748562734,0.000124546372444538,0.000128350308609381,0.000114924288508453,0.000106452200127617,9.76090129993514e-05,0.000122315703891577,0.000170973103845727,0.000133942456628728,0.000136517628332966,0.000177522597664585,0.00018652577836331,0.000123295159699417,0.000186681530576714,0.000143020357118506,0.000145753118509431,0.000146577597635355,0.000153909163637979,0.000146592353676948,0.000160331895690669,0.000233716387851555,0.000127390739319763,"v_1548",112,1.54612078295556e-05,1444.73109913272
"311182",9.38229834553994e-05,7.75272737564948e-05,7.77629860986662e-05,6.81169270563735e-05,9.78848472430258e-05,0.000167616597135674,9.07461769728637e-05,8.61084348898381e-05,9.19394308067622e-05,8.94450438942104e-05,6.66994922162235e-05,9.637492373739e-05,0.000134554442701353,0.000117023409475625,0.000104190626053099,0.000138107615315979,0.000141208777177056,9.90322567866806e-05,0.000128757296798478,0.00010587941166525,0.000118178204196836,0.000118105690181006,0.000124470162539439,0.000117273882941558,0.000136065446613162,0.000140419588912166,0.000102031927042995,"v_1571",128,1.61770415426427e-05,1269.03627597392
"1188319",4.33029154409536e-05,3.59948056726583e-05,3.55213640203784e-05,3.09076805586188e-05,5.07686334581365e-05,8.28805314250194e-05,4.95062645631311e-05,2.92443741135299e-05,4.69142985966013e-05,4.37776799341382e-05,3.95858774941814e-05,4.05529917600261e-05,6.44971708816402e-05,5.18850779361808e-05,5.62815435376113e-05,7.51057143965551e-05,6.33436535918355e-05,5.12491928871072e-05,6.88470892907029e-05,4.43473975561258e-05,5.71194653618042e-05,5.25500020299416e-05,5.86197653453376e-05,5.56721522952904e-05,6.78160585826747e-05,6.072198439445e-05,3.96790827389427e-05,"v_1580",125,1.65906262961427e-05,3070.29603294869
"2614442",6.92846647055257e-05,7.13743155218524e-05,6.40024576943755e-05,6.39158830969496e-05,7.15874255956457e-05,0.000110301204757178,7.12743252337472e-05,6.98615603823215e-05,0.000220402745084704,7.05482036348702e-05,5.09735956774391e-05,7.71656118510618e-05,7.5617372757785e-05,8.43132516462938e-05,9.23296396050896e-05,0.000106761841952128,0.000365790821729928,6.90749991087097e-05,0.000104594616422414,0.000460104249644805,0.00011489547630248,7.46948189388801e-05,0.000285351721174441,0.000112661988668576,7.79993006062712e-05,6.45171084191031e-05,9.03967072924784e-05,"v_1865",150,1.61217514670794e-05,864.99924952962
"1573704",4.69114917276997e-06,1.53823955866061e-06,3.52013517319065e-06,2.40059654824224e-06,4.7481455752214e-06,4.9274743807412e-05,2.64523268908752e-05,4.38665611702949e-05,5.35263809491424e-05,3.87385225316475e-05,2.27754363665153e-05,4.28515419002705e-05,4.19787620824468e-05,4.08876972866642e-05,4.16297367488943e-05,5.98983590022113e-05,7.06043885885281e-05,4.67927413317066e-05,4.76633695089481e-05,8.09340005399296e-05,4.62864633104275e-05,3.76110382421655e-05,6.66251077493264e-05,3.59068911253648e-05,3.98663091987609e-05,3.25748145449393e-05,3.49056592515511e-05,"v_1970",127,1.64598215755341e-05,1770.93747880258
"53412",0.000118000444576599,0.0001015238108716,8.864340390671e-05,9.66240110667501e-05,9.31367016678044e-05,0.000359148969508417,7.83466487427659e-05,8.44837474390864e-05,0.000264483294101645,0.000108026936815895,7.15799428661911e-05,0.000105733306451242,0.000101749847166725,0.000105462060587672,0.000131633692736727,0.000696434806222601,0.000326232334506568,0.000111906450168949,0.000128757296798478,0.00051831020893722,0.000163479849138957,0.000102990973878079,0.000292324116171463,0.00014066277532597,0.000155131942316917,8.53902905546953e-05,0.000127390739319763,"v_2053",167,1.58375698832771e-05,2018.13103432462
"1392877",0.000137486756525028,0.000142440983131973,0.000128324927677223,0.000131432661016263,0.000144270577093266,0.000336470217128437,0.000108381061566781,0.000151095932919905,0.000271725098582999,0.000161882931555015,0.000106827642004846,0.000169764346072336,0.000154570806078414,0.000183007693372725,0.000364667191185845,0.000220351476122124,0.000369546374314424,0.000399842736776223,0.000207865250358468,0.000388594071085552,0.000211079403607127,0.000150092647938361,0.000332609065043149,0.000187769981114293,0.000172465120229422,0.000125239092813553,0.000164384771347048,"v_2080",150,1.51114469210427e-05,2228.16839330556
"2320867",0.000110422434374432,0.000127058587545367,9.24835513683726e-05,0.000102025353300295,0.00010518968658952,0.000147205719993691,9.58896849794228e-05,0.000103979996848106,0.000306989537796552,0.000119365040971499,7.97140272828037e-05,0.000108196038744361,0.000108699973339316,0.000122099123621556,0.000150704298398232,0.000202350933002289,0.000451417420656441,0.000118838708144017,0.000143652099770024,0.000593146442313182,0.00017989348861074,0.000112305857181046,0.000388129988167587,0.000153510195086422,0.000144082041397695,8.88691542439607e-05,0.000144097721525634,"v_2082",133,1.59169770477191e-05,3317.0568213981
"797277",2.7064322150596e-05,2.95341995262837e-05,3.26412534241315e-05,2.70067111677252e-05,3.21412931245756e-05,4.96870847597753e-05,3.72904330475533e-05,4.06171862687915e-05,5.13223534982953e-05,4.03132592199258e-05,4.06704220830631e-05,3.16871555047977e-05,5.17089387240736e-05,4.62453955518133e-05,4.30251469192483e-05,5.33809209760639e-05,6.73495763486315e-05,3.49088705173049e-05,5.03113344816675e-05,8.86947951122516e-05,5.41650102568833e-05,3.84898008179171e-05,5.75868179383713e-05,4.41424166128338e-05,5.41661809765772e-05,4.17463642711844e-05,3.81873878991328e-05,"v_2181",106,1.65862234827752e-05,2645.44001051788
"570",0.000187645966910799,0.00018120462001022,0.000184967102736745,0.000158739446752518,0.000180064289891088,0.000249672446655966,0.000227416532575719,0.000180340307033434,0.000208752885701655,0.000228021872462706,9.43553792327064e-05,0.00019061547948741,0.000175421184596185,0.00021853769239424,0.00019372944531748,0.000243628040501222,0.000259884238847135,0.000181724191203559,0.000237985851923151,0.000192911179369147,0.000276405688704823,0.000185594655998723,0.000230347271753485,0.000216759030830184,0.000215798065010684,0.000144847233607594,0.00021301402312485,"v_2209",157,1.50879628232596e-05,2297.5617145288
"413496",4.51072035843267e-05,4.24554118190329e-05,4.89618801361972e-05,3.7509321066285e-05,5.04033914908118e-05,6.26758247592186e-05,4.69345105598516e-05,4.54912486210465e-05,4.7229159661008e-05,6.33044148687898e-05,2.92827038998054e-05,4.53142741933895e-05,4.53148226452903e-05,5.47049191283645e-05,6.1398047495576e-05,5.71051712767196e-05,6.23421729026366e-05,4.80306445415401e-05,6.48751418316239e-05,5.48799044757057e-05,5.74477381512399e-05,4.67501690299814e-05,6.17186075662365e-05,5.40250471977966e-05,6.8032723306581e-05,5.12341743328172e-05,7.21980302467979e-05,"v_2306",122,1.6677228911644e-05,982.465024241578
"1076588",2.34557458638499e-05,2.27659454681771e-05,3.07211796933002e-05,2.2505592639771e-05,2.15492760721587e-05,4.24711180934179e-05,2.99425644667546e-05,2.76196866627782e-05,2.70780515389779e-05,3.33844177915011e-05,2.54867978387195e-05,2.93886053645533e-05,3.83646964726998e-05,3.21461895908946e-05,3.53503909823013e-05,4.74841913333592e-05,4.95732941153495e-05,2.79766125422373e-05,3.87264877260204e-05,3.04888358198365e-05,3.64382796273579e-05,3.72595332118649e-05,3.58949223920789e-05,3.82128382618561e-05,4.26829506095429e-05,4.17463642711844e-05,3.28172864758172e-05,"v_3436",128,1.64579253139349e-05,2799.22944411683
"213115",1.84037390624053e-05,1.66129872335346e-05,1.47205652697064e-05,1.35033555838626e-05,1.38791947583395e-05,3.33996171414257e-05,1.95637000963765e-05,1.78715619582683e-05,4.97480481762617e-05,4.78719953236619e-05,2.81981593109238e-05,2.98811518231771e-05,3.97547217072179e-05,5.32949985322727e-05,4.3257715280974e-05,4.18978158823758e-05,4.40651503247552e-05,4.75354832576067e-05,4.4353413293049e-05,4.93364797811899e-05,5.67911925723686e-05,4.18290986057729e-05,5.42297388657308e-05,5.83075204512804e-05,3.33663674815716e-05,3.66861989049802e-05,4.83309128098399e-05,"v_3541",132,1.69891778936817e-05,693.750878064343
"1812480",0.000135682468381655,0.000135365081162134,0.000157766058216636,0.00018214526309788,0.000173489934479243,0.000204727282848369,8.3398308392065e-05,0.000233954992908239,0.00017852622351861,0.000214794084281167,9.00172008771797e-05,0.000255631612025752,0.000152346765703185,0.000238276580739526,0.000163728126654869,0.00018838499437483,0.000210811685076385,0.00018989435238846,0.000181716596252865,0.000121955343279346,0.000191054763451552,0.000247635293846781,0.000201166507506687,0.000272101762105975,0.000170515137714265,0.000145796014613758,0.000186163516008272,"v_3897",289,1.51301953308217e-05,3342.93000892604
"444103",8.19146817091372e-05,9.69090921956185e-05,8.12831212718568e-05,0.000121230125686233,8.47361364193358e-05,0.000126176331423164,6.0987309220629e-05,0.000255075929768011,0.000103274429125404,0.000165977246944538,6.39881307440193e-05,0.000192257301016156,0.000119542170168557,0.000332741260677681,0.000147215772972347,0.000113589634169997,0.000166496164579331,0.000168602417179324,0.000139349156689355,7.42818909065107e-05,0.000127041569511599,0.000143941309908101,0.000138673189385226,0.000243112712390085,0.000120465586491908,0.000135991944216737,0.000252394766895831,"v_3916",249,1.53520218612791e-05,3404.57549714224
"2692233",8.1192966451788e-05,8.21419924324767e-05,8.41632318681037e-05,9.18228179702656e-05,7.63355711708671e-05,0.000121640580947168,5.97932805762492e-05,9.74812470450997e-05,0.000128463314277942,0.000144875775321608,7.80872103994811e-05,0.00012494261833757,0.000105641917823376,0.000136198329582475,0.000126749757140488,0.000116072467703767,0.000132946561491165,0.000147062901328221,0.000113200502583752,7.09558360898013e-05,0.000117849931407401,0.000260992484998205,0.000107684767176237,0.000199958558835747,0.000120032257044095,9.83569643055935e-05,0.000134252535582889,"v_3917",178,1.59959050483076e-05,3544.67722585449
"1188315",6.60369460474542e-05,6.67595968458706e-05,7.45628632139474e-05,7.77193132493425e-05,6.0630166575904e-05,9.97865104719139e-05,4.4638301628352e-05,0.00010722937174961,0.000111145955735572,0.000145190722659264,5.4769501738525e-05,0.000115912599929467,8.97956301498697e-05,0.000131122615436544,9.02365243495586e-05,0.000103037591651472,0.000110162875811888,0.000126018546761051,0.00011982041501555,6.81841237425434e-05,9.48708361469047e-05,0.00035589884317937,9.37399771821918e-05,0.000192052454367777,9.7499125757839e-05,9.93057453117568e-05,0.000108297045370197,"v_3923",223,1.60911402181959e-05,1708.89825703931
"2782004",4.83549222423982e-05,5.38383845531214e-05,4.86418678477254e-05,5.40134223354504e-05,5.58820210006826e-05,7.15411552350292e-05,3.53616175450936e-05,6.82368729315698e-05,4.81737428542281e-05,7.8421887076262e-05,4.06704220830631e-05,8.19268942844252e-05,5.78250497559533e-05,0.000127456821886705,7.00030768794256e-05,6.17604841525391e-05,8.11199358251174e-05,8.46725795526119e-05,7.57979973440911e-05,4.15756852088679e-05,8.10833789906071e-05,8.3833949726696e-05,8.41852136677535e-05,0.00030800865323134,8.31992539800226e-05,7.71675218346136e-05,8.83083345167446e-05,"v_3932",198,1.63350648502075e-05,543.219458675477
